County,,Urbanicity,population,prison_population,percent incercerated,,Total Returned 2012,Total Released 2012,Rate Return (36 months) 2012,Total Returned 2013,Total Released 2013,Rate Return (36 mo) 2013,Total Return 2014,Total Released 2014,Return Rate (36 mo) 2014,,,# Primary Care Physicians,% Primary Care Physicians,# Mental Health Providers,% Mental Health Providers,,Graduation Rate,% Children in Poverty,80th Percentile Income,20th Percentile Income,Household Income,Residential segregation - black/white Segregation Index,Residential segregation - non-white/white Segregation Index,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Not Proficient in English,,year
Nassau,,suburban,48475,341,0.007034554,,19,104,18.30%,21,97,21.60%,31,124,25.00%,,,36,0.000742651,82,0.001691594,,91,14,113643,26712,67967,31,22,20,21.4,5.8,0.5,1,0.1,23,0.4,,
Okaloosa,,small/mid,129166,1034,0.008005203,,80,294,27.20%,85,304,28.00%,95,316,30.10%,,,160,0.001238716,296,0.002291625,,82,16,106353,26125,58009,34,26,22.1,15.8,9.5,0.7,3.2,0.1,4.2,1.7,,
Okeechobee,,rural,24805,496,0.019995969,,40,145,27.60%,36,130,27.70%,34,152,22.40%,,,19,0.000765975,21,0.000846604,,66,29,70875,16278,37689,59,39,22.3,18.4,8.3,1.5,1.1,0.2,8.7,6.3,,
Orange,,urban,883380,5489,0.006213634,,402,1602,25.10%,365,1395,26.20%,325,1276,25.50%,,,1067,0.001207861,2593,0.002935317,,78,22,99342,21727,51312,50,35,22.5,11.3,20.3,0.6,5.6,0.1,25.5,6.3,,
Osceola,,suburban,209024,1313,0.006281575,,83,410,20.20%,85,410,20.70%,93,390,23.80%,,,144,0.000688916,437,0.002090669,,81,23,84163,20684,50716,29,22,24.7,13.2,9.6,0.8,2.9,0.2,30.5,9.7,,
Palm Beach,,suburban,856677,3998,0.00466687,,280,1230,22.80%,250,1150,21.70%,269,1124,23.90%,,,1128,0.001316716,2552,0.002978952,,79,19,115654,23392,57607,54,44,19.4,23.3,18.3,0.6,2.8,0.2,52.3,6.5,,
Pasco,,suburban,294808,1949,0.006611082,,218,815,26.70%,191,741,25.80%,173,916,18.90%,,,298,0.001010827,350,0.001187213,,79,18,90146,20853,46326,44,33,20.3,22.9,5.1,0.4,2.5,0.1,21.5,2.1,,
Pinellas,,urban,591353,5549,0.009383566,,523,2060,25.40%,440,1939,22.70%,364,1809,20.10%,,,869,0.001469511,1694,0.002864617,,78,20,97369,20446,49974,60,44,16.7,23.8,10.4,0.4,3.5,0.1,14.3,2.5,,
Polk,,small/mid,391475,4346,0.011101603,,354,1301,27.20%,413,1382,29.90%,381,1492,25.50%,,,318,0.000812312,522,0.001333418,,69,25,83945,20442,46289,42,35,22.4,20,14.5,0.6,1.9,0.1,9.3,4.5,,
Putnam,,rural,43738,807,0.018450775,,77,249,30.90%,90,305,29.50%,70,286,24.50%,,,30,0.000685902,39,0.000891673,,55,36,67727,13775,37526,47,39,21.6,21.9,15.9,0.7,0.6,0.1,21.1,1.9,,
